data,tipo,numero,oggetto,settore
2022-07-16,Giunta,156,Nomina commissione giudicatrice servizio mensa scolastica,Polizia locale
2022-01-04,Giunta,61,Costituzione gruppo di lavoro per manutenzione strade,Urbanistica
2022-05-26,Determinazione dirigenziale,79,Variazione di bilancio relativa a noleggio fotocopiatrici,Ambiente
2022-07-05,Determinazione dirigenziale,17,Liquidazione fattura n.4127 per protezione civile,Cultura
2022-12-11,Giunta,46,Approvazione protezione civile,Patrimonio
2022-07-23,Determinazione dirigenziale,272,Approvazione Piano triennale manutenzione cimiteri,Ambiente
2022-11-02,Determinazione dirigenziale,192,Variazione di bilancio relativa a trasporto scolastico,Servizi cimiteriali
2022-01-08,Determinazione dirigenziale,320,Concessione contributo a asili nido comunali,Sport
2022-07-27,Consiglio,300,Indizione gara per manutenzione cimiteri,Personale
2022-07-02,Determinazione dirigenziale,314,Approvazione manutenzione cimiteri,Patrimonio
2022-05-11,Consiglio,94,Approvazione illuminazione pubblica,Sport
2022-02-01,Determinazione dirigenziale,295,Modifica regolamento trasporto scolastico,Polizia locale
2022-08-07,Consiglio,125,Approvazione Piano triennale progettazione opera pubblica,Polizia locale
2022-01-05,Determinazione dirigenziale,306,Costituzione gruppo di lavoro per consulenze legali,Urbanistica
2022-10-07,Determinazione dirigenziale,47,Affidamento incarico per biblioteca civica,Patrimonio
2022-10-06,Giunta,339,Modifica regolamento servizio pulizie,Servizi cimiteriali
2022-05-13,Determinazione dirigenziale,194,Liquidazione fattura n.493 per progettazione opera pubblica,Lavori pubblici
2022-06-19,Determinazione dirigenziale,213,Variazione di bilancio relativa a protezione civile,Polizia locale
2022-10-07,Determinazione dirigenziale,201,Aggiudicazione servizio di manutenzione cimiteri,Servizi cimiteriali
2022-07-19,Giunta,328,Indizione gara per manutenzione strade,Ambiente
2022-04-08,Giunta,44,Convenzione con trasporto scolastico,Servizi cimiteriali
2022-05-27,Consiglio,231,Aggiudicazione servizio di fornitura cancelleria,Bilancio e tributi
2022-12-25,Consiglio,338,Indizione gara per fornitura cancelleria,Bilancio e tributi
2022-07-08,Determinazione dirigenziale,32,Affidamento incarico per trasporto scolastico,Lavori pubblici
2022-09-05,Consiglio,113,Approvazione noleggio fotocopiatrici,Tributi
2022-03-22,Giunta,315,Modifica regolamento noleggio fotocopiatrici,Ambiente
2022-02-28,Determinazione dirigenziale,342,Liquidazione fattura n.1350 per verde pubblico,Tributi
2022-01-05,Determinazione dirigenziale,143,Approvazione Piano triennale manutenzione cimiteri,Ambiente
2022-10-24,Consiglio,296,Costituzione gruppo di lavoro per fornitura cancelleria,Bilancio e tributi
2022-04-04,Giunta,24,Indizione gara per manutenzione strade,Personale
2022-06-11,Consiglio,322,Aggiudicazione servizio di illuminazione pubblica,Pubblica istruzione
2022-01-26,Consiglio,185,Liquidazione fattura n.8766 per consulenze legali,Pubblica istruzione
2022-04-24,Giunta,87,Approvazione Piano triennale servizio pulizie,Patrimonio
2022-08-04,Giunta,296,Aggiudicazione servizio di noleggio fotocopiatrici,Servizi sociali
2022-09-11,Determinazione dirigenziale,73,Concessione contributo a impianti sportivi comunali,Polizia locale
2022-11-05,Determinazione dirigenziale,212,Variazione di bilancio relativa a fornitura cancelleria,Pubblica istruzione
2022-10-21,Giunta,20,Affidamento incarico per verde pubblico,Tributi
2022-11-16,Determinazione dirigenziale,227,Nomina commissione giudicatrice biblioteca civica,Bilancio e tributi
2022-06-24,Giunta,97,Liquidazione fattura n.4931 per manutenzione cimiteri,Bilancio e tributi
2022-05-16,Determinazione dirigenziale,327,Aggiudicazione servizio di manutenzione cimiteri,Urbanistica
2022-06-19,Determinazione dirigenziale,217,Affidamento incarico per eventi natalizi,Patrimonio
2022-02-27,Determinazione dirigenziale,193,Modifica regolamento illuminazione pubblica,Lavori pubblici
2022-03-27,Determinazione dirigenziale,214,Nomina commissione giudicatrice biblioteca civica,Tributi
2022-08-13,Determinazione dirigenziale,196,Liquidazione fattura n.1554 per consulenze legali,Pubblica istruzione
2022-02-09,Determinazione dirigenziale,153,Costituzione gruppo di lavoro per ufficio anagrafe,Bilancio e tributi
2022-09-06,Determinazione dirigenziale,146,Approvazione manutenzione strade,Tributi
2022-12-01,Consiglio,230,Convenzione con noleggio fotocopiatrici,Personale
2022-09-20,Giunta,254,Approvazione Piano triennale manutenzione strade,Servizi sociali
2022-07-15,Determinazione dirigenziale,274,Affidamento incarico per eventi natalizi,Patrimonio
2022-06-12,Determinazione dirigenziale,192,Variazione di bilancio relativa a protezione civile,Tributi
2022-04-10,Determinazione dirigenziale,70,Approvazione Piano triennale biblioteca civica,Urbanistica
2022-08-25,Determinazione dirigenziale,139,Indizione gara per manutenzione cimiteri,Pubblica istruzione
2022-02-03,Determinazione dirigenziale,191,Nomina commissione giudicatrice servizio pulizie,Servizi sociali
2022-03-14,Determinazione dirigenziale,291,Concessione contributo a progettazione opera pubblica,Urbanistica
2022-12-26,Determinazione dirigenziale,129,Approvazione Piano triennale asili nido comunali,Bilancio e tributi
2022-08-22,Determinazione dirigenziale,10,Liquidazione fattura n.8255 per servizio pulizie,Bilancio e tributi
2022-06-07,Determinazione dirigenziale,175,Aggiudicazione servizio di illuminazione pubblica,Servizi sociali
2022-08-07,Determinazione dirigenziale,290,Indizione gara per verde pubblico,Personale
2022-12-06,Giunta,335,Liquidazione fattura n.8180 per eventi natalizi,Servizi cimiteriali
2022-03-08,Determinazione dirigenziale,312,Indizione gara per consulenze legali,Sport
2022-05-17,Determinazione dirigenziale,222,Variazione di bilancio relativa a fornitura cancelleria,Bilancio e tributi
